Nama Restoran,Jenis Makanan,Alamat,Harga,Rating,Timestamp
Honu Poke & Matcha Bar,Hawaii,"Jl. Kemang Selatan No. 125, Kemang, Jakarta Selatan",75000,4.06,2025-06-03 22:24:10.526880
Yakiniku Like,Jepang,"Pacific Place Mall, Lantai 5
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.68,2025-06-03 22:24:10.776705
Rempah Bistro,Indonesia,"Central Park, Lantai 1
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.2,2025-06-03 22:24:10.916571
Valitas Gluten Free Bakery & Coffee,Kafe,"Jl. Sedayu City Kelapa Gading Blok B No. 36, Kelapa Gading, Jakarta Utara",50000,4.68,2025-06-03 22:24:11.143865
Ben Gong's Tea,Kafe,"Plaza Indonesia, Lantai 4
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.05,2025-06-03 22:24:11.405758
Steak On Top,Barat,"Wisma Mertha, Lantai 3
Jl. Kelapa Kopyor Blok BC2 No. 14, Kelapa Gading, Jakarta Utara",150000,4.18,2025-06-03 22:24:11.679462
Noble by Zab Thai,Thailand,"Kuningan City, Lantai Ground
Jl. Prof Dr Satrio, Kuningan, Jakarta Selatan",150000,4.1,2025-06-03 22:24:11.838953
OSCAR,Italia,"Altitude The Plaza, Lantai 46
Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,4.57,2025-06-03 22:24:12.014709
B'Steak Grill & Pancake,Barat,"Jl. Muara Karang Raya No. 42, Muara Karang, Penjaringan, Jakarta Utara",150000,4.11,2025-06-03 22:24:12.114784
Evlogia Cafe & Co,Kafe,"Jl. Cisanggiri I No. 6, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.09,2025-06-03 22:24:12.358015
OMG! Oh My Grill,Korea,"Jl. Boulevard Raya Blok QJ1 No. 18 - 19, Kelapa Gading, Jakarta Utara",150000,4.15,2025-06-03 22:24:12.612059
Ocean 8 Seafood & Dimsum Bar,China,"St Moritz Mall (Lippo Mall Puri), Lantai Ground
Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",150000,4.14,2025-06-03 22:24:12.848180
7 Speed Coffee,Kafe,"Jl. Panglima Polim III No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",75000,4.13,2025-06-03 22:24:16.639238
Vong Kitchen - Alila Hotel SCBD,Barat,"Alila Hotel SCBD, Lantai Lobby
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.21,2025-06-03 22:24:16.887359
Maison Feerie,"Toko Roti dan Kue,Kafe","Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.12,2025-06-03 22:24:17.137632
Yakiniku Like,Jepang,"Pondok Indah Mall 3, Lantai 3, Foodcourt
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.27,2025-06-03 22:24:17.418179
Song Fa Bak Kut Teh,China,"Central Park, Lantai 3
Jl. Letjen S. Parman, Slipi, Jakarta Barat",75000,4.09,2025-06-03 22:24:17.683003
Motto Yakiniku,Jepang,"Jl. Pluit Kencana No. 128A - B, Pluit, Penjaringan, Jakarta Utara",200000,4.4,2025-06-03 22:24:17.955399
Pendopo - Hotel Borobudur,Indonesia,"Hotel Borobudur
Jl. Lapangan Banteng Selatan, Pasar Baru, Sawah Besar, Jakarta Pusat",200000,4.68,2025-06-03 22:24:18.213187
Dandy Co Bakery & Cafe,Toko Roti dan Kue,"Ruko Griya Inti Sentosa, Blok A No. 16
Jl. Griya Utama, Sunter, Jakarta Utara",50000,4.33,2025-06-03 22:24:18.485498
XIYUE,"Es Krim,Minuman","Gedung Sarinah, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,4.29,2025-06-03 22:24:18.764288
Sushi Hiro,Jepang,"Cove at Batavia PIK
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.29,2025-06-03 22:24:19.015902
Feel Matcha,Kafe,"Jl. Kemang Timur XI No. 47, Kemang, Jakarta Selatan",50000,4.11,2025-06-03 22:24:19.291320
Sehela Kopi,Kafe,"Jl. Pondok Labu I No. 8B, Fatmawati, Jakarta Selatan",150000,4.13,2025-06-03 22:24:19.552979
Gong cha,Bubble Tea,"Lotte Mall Jakarta, Lantai Lower Ground
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",50000,4.23,2025-06-03 22:24:23.155780
Union,Barat,"Pondok Indah Mall 1, Street Gallery, Lantai Ground
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.08,2025-06-03 22:24:23.279052
Rica Rico Cakery,Toko Kue,"Emporium Pluit Mall, Lantai Lower Ground
Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara",50000,4.4,2025-06-03 22:24:23.454370
Vilo Gelato,Es Krim,"Jl. Langsat I No. 3C, Gandaria, Jakarta Selatan",50000,4.15,2025-06-03 22:24:23.685138
Bakmi Berdikari,"Indonesia,China","Jl. Dewi Sartika No. 136A, Cawang, Jakarta Timur",75000,4.27,2025-06-03 22:24:23.953820
Hachi Grill,Jepang,"Synthesis Square, Tower 2, Lantai Ground
Jl. Gatot Subroto No. 177A, Gatot Subroto, Jakarta Selatan",200000,4.27,2025-06-03 22:24:24.217544
Sushi Tei,Jepang,"Pondok Indah Mall 2, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.1,2025-06-03 22:24:24.457974
Cotti Coffee,Kafe,"Jl. Boulevard Raya Blok LB3 No. 18, Kelapa Gading, Jakarta Utara",50000,4.6,2025-06-03 22:24:24.729427
Holycow! STEAKHOUSE by Chef Afit,Barat,"Cilandak Town Square, Lantai 1
Jl. TB Simatupang, Cilandak, Jakarta Selatan",200000,4.18,2025-06-03 22:24:24.946261
Sushi Sei,Jepang,"Plaza Senayan, Lantai 4
Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,4.27,2025-06-03 22:24:25.194406
Rempah Bistro,Indonesia,"Mal Kelapa Gading 1, Lantai Ground
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",75000,4.24,2025-06-03 22:24:25.328894
Chavaty,Kafe,"Senayan City, Lantai 1
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.2,2025-06-03 22:24:25.575952
Sliced Pizzeria,Italia,"Crumble Crew
Jl. Tulodong Bawah No. 1A, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.19,2025-06-03 22:24:29.394555
Salad & Sushi 368,Jepang,"Plaza Blok M, Lantai 6
Jl. Bulungan No. 76, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.19,2025-06-03 22:24:29.650592
Santhai,Thailand,"Senayan City, Lantai 5
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.38,2025-06-03 22:24:29.926055
Ramen SeiRock-Ya,Jepang,"Cilandak Town Square, Lantai 1
Jl. TB Simatupang, Cilandak, Jakarta Selatan",75000,4.38,2025-06-03 22:24:30.179652
Hoghock,China,"Ruko Elang Laut, Blok D No. 59
Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.19,2025-06-03 22:24:30.396694
Sushi Hiro,Jepang,"Mall Taman Anggrek, Lantai 4
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.19,2025-06-03 22:24:30.476825
Genki Sushi,Jepang,"Central Park, Lantai Upper Ground, SOGO
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.11,2025-06-03 22:24:30.661964
Etera,Kafe,"Jl. Tebet Raya No. 73, Tebet, Jakarta Selatan",75000,4.2,2025-06-03 22:24:30.924207
Boens Soes,Toko Kue,"Jl. Kelapa Kopyor Raya Blok M1 No. 1, Kelapa Gading, Jakarta Utara",50000,4.22,2025-06-03 22:24:31.192075
PAUL,Kafe,"Pacific Place Mall, Lantai Ground, South Lobby
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.07,2025-06-03 22:24:31.459052
Sir Loin,Barat,"Jl. Bumi No. 20, Blok M, Kebayoran Baru, Jakarta Selatan",200000,4.15,2025-06-03 22:24:31.613071
Vivoli Gelato,Es Krim,"Ruko Crown Golf, Blok D No. 37, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",50000,4.14,2025-06-03 22:24:31.875111
Harlan + Holden Because Coffee,Kafe,"Plaza Indonesia, Lantai 2
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.1,2025-06-03 22:24:35.576548
The Pancake Co. by DORE,Kafe,"Hublife, Lantai Ground
Jl. Tanjung Duren Timur No. 2, Tanjung Duren, Jakarta Barat",150000,4.31,2025-06-03 22:24:35.822893
Bacha Coffee,Kafe,"Plaza Senayan, Lantai Ground
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.36,2025-06-03 22:24:36.072986
SATURDAYS,Kafe,"Lotte Mall Jakarta, Lantai 1
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",75000,4.14,2025-06-03 22:24:36.334008
Upstairs Coffee Signature,Kafe,"Jl. Kembang Kerep No. 21, Puri, Jakarta Barat",75000,4.07,2025-06-03 22:24:36.600782
La Pattisserie - Four Seasons Hotel,Toko Kue,"Four Seasons Hotel, Lantai Lobby
Jl. Gatot Subroto Kav. 18, Gatot Subroto, Jakarta Selatan",150000,4.64,2025-06-03 22:24:36.883160
Kopikalyan,Kafe,"Jl. Teuku Cik Ditiro No. 38, Menteng, Jakarta Pusat",75000,4.23,2025-06-03 22:24:37.137030
Sumibi,Jepang,"1 Park Residence, Unit 3, Lantai Ground
Jl. Kyai Moh. Syafii Hadzami No. 1, Gandaria, Jakarta Selatan",200000,4.15,2025-06-03 22:24:37.325812
Seribu Rasa,Indonesia,"Plaza Indonesia, Lantai 4
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.17,2025-06-03 22:24:37.460705
Cold Moo,Es Krim,"Ruko Darmawangsa Square, No. 20
Jl. Darmawangsa VI, Darmawangsa, Kebayoran Baru, Jakarta Selatan",50000,4.08,2025-06-03 22:24:37.528281
Kappa Sushi,Jepang,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",200000,4.14,2025-06-03 22:24:37.709116
Minq Bar & Lounge,Lounge,"Jl. Suryo No. 36, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.18,2025-06-03 22:24:37.944805
Sushiro,Jepang,"Pondok Indah Mall 1, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.24,2025-06-03 22:24:41.597575
Amertha Warung Coffee,Indonesia,"Jl. Bumi No. 18, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.26,2025-06-03 22:24:41.860611
Indoguna Gourmet,Barat,"Jl. Cipaku I No. 11, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.18,2025-06-03 22:24:42.112309
Saigon Delight,Vietnam,"Pondok Indah Mall 1, Street Gallery, Lantai Ground
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.3,2025-06-03 22:24:42.348580
Luna's Doughnuts,Donat,"Mal Kelapa Gading 5, Lantai 3
Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",50000,4.2,2025-06-03 22:24:42.595104
LOF Coffee & Tea,Kafe,"Jl. Haji Junaedi No. 2A, Fatmawati, Jakarta Selatan",75000,4.17,2025-06-03 22:24:42.868542
CROCO by Monsieur Spoon,Kafe,"AEON Mall Tanjung Barat, Lantai Ground
Jl. Raya Tanjung Barat No. 163, Jagakarsa, Jakarta Selatan",150000,4.5,2025-06-03 22:24:43.126651
Daun Muda Soulfood by Andrea Peresthu,Indonesia,"Jl. Wolter Monginsidi No. 2A, Senopati, Kebayoran Baru, Jakarta Selatan",150000,4.14,2025-06-03 22:24:43.389235
7.AM Bakers,"Toko Roti dan Kue,Kafe","Senayan City, Lantai Lower Ground, Crystal Lagoon
Jl. Asia Afrika, Senayan, Jakarta Selatan",150000,4.2,2025-06-03 22:24:43.673937
Futago Ya,Jepang,"Jl. Sultan Hasanudin Dalam No. 24, Blok M, Kebayoran Baru, Jakarta Selatan",75000,4.08,2025-06-03 22:24:43.968230
Djournal Coffee,Kafe,"Pacific Place Mall, Lantai 1
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",75000,4.11,2025-06-03 22:24:44.241890
Ikkudo Ichi,Jepang,"Ruko Crown Golf, Blok D No. 2 - 3, Bukit Golf Mediterania
Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.07,2025-06-03 22:24:44.499306
Kissa Cafe,Jepang,"Grand Indonesia Mall, Lantai Ground, East Mall, Shinta Lobby
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.2,2025-06-03 22:24:48.245069
Sudestada,Argentina,"Jl. Biliton No. 15, Menteng, Jakarta Pusat",200000,4.09,2025-06-03 22:24:48.508872
Lind's Ice Cream,Kafe,"Ruko Gading Batavia, Blok LC9 No. 33
Jl. Gading Batavia Raya, Kelapa Gading, Jakarta Utara",75000,4.04,2025-06-03 22:24:48.776382
Sushi Tei,Jepang,"Central Park, Lantai 1
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.03,2025-06-03 22:24:49.032463
Maison du GIOI,"Barat,Indonesia","Jl. Senopati No. 88, Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.08,2025-06-03 22:24:49.296038
Noodle King,Korea,"Lotte Mall Jakarta, Lantai 3
Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",150000,4.03,2025-06-03 22:24:49.564586
Mlinjo Cafe & Resto,Indonesia,"Jl. Kemuning No. 50, Tomang, Jakarta Barat",75000,4.09,2025-06-03 22:24:49.825189
Liberta Kitchen & Bar,Italia,"Apartemen Pavilion Sudirman, Lantai Ground
Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",200000,4.16,2025-06-03 22:24:50.094623
Bubur Cap Tiger,China,"Jl. Cikajang No. 34A, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.13,2025-06-03 22:24:50.353114
Soto Betawi H. Mamat,Indonesia,"Jl. Mandala Raya No. 10, Tomang, Jakarta Barat",50000,4.2,2025-06-03 22:24:50.612736
Layar Seafood,Indonesia,"Jl. Pesanggrahan No. 80, Puri, Jakarta Barat",150000,4.06,2025-06-03 22:24:50.874785
Say Something Coffee,Kafe,"Ruko Grand Aries Niaga, Blok G1 No. 2O
Jl. Taman Aries, Meruya, Jakarta Barat",50000,4.05,2025-06-03 22:24:51.139813
Six Ounces Coffee,Kafe,"Jl. Panglima Polim IX No. 93, Panglima Polim, Kebayoran Baru, Jakarta Selatan",150000,4.06,2025-06-03 22:24:54.823784
Plataran,Indonesia,"Jl. Darmawangsa Raya No. 6, Darmawangsa, Kebayoran Baru, Jakarta Selatan",200000,4.32,2025-06-03 22:24:55.084064
Jiwa Toast,Barat,"Jl. Danau Sunter Utara Blok C1 No. 7, Sunter, Jakarta Utara",50000,4.26,2025-06-03 22:24:55.355054
Lazy Boss,Kafe,"Jl. Pelepah Elok I Blok QA2 No. 6, Kelapa Gading, Jakarta Utara",75000,4.14,2025-06-03 22:24:55.623321
Fountain Lounge - Grand Hyatt Jakarta,"Lounge, Bar, & Club","Grand Hyatt Jakarta, Lantai Mezzanine
Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,4.19,2025-06-03 22:24:55.888058
Kedai Seni Djakarte,Kafe,"Taman Fatahillah
Jl. Pintu Besar Utara No. 17, Kota, Jakarta Barat",50000,4.14,2025-06-03 22:24:56.150981
Toko Kopi Tuku,Minuman,"Pasar Santa, Lantai Dasar
Jl. Cipaku I, Senopati, Kebayoran Baru, Jakarta Selatan",50000,4.01,2025-06-03 22:24:56.415622
Shaburi & Kintan Buffet,Jepang,"Pondok Indah Mall 3, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",200000,4.15,2025-06-03 22:24:56.682610
Golden Sense International Restaurant,China,"Mangga Dua Square, Lantai 5B
Jl. Gunung Sahari No. 1, Mangga Dua, Jakarta Utara",150000,4.06,2025-06-03 22:24:56.941303
Hoki Kitchen,China,"Ruko Mall of Indonesia, Blok B No. 35
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",75000,4.1,2025-06-03 22:24:57.175665
Pearl - Hotel JW Marriott,China,"Hotel JW Marriott, Lantai Upper Ground, Kawasan Mega Kuningan
Jl. Dr. Ide Anak Agung Gde Agung, Kuningan, Jakarta Selatan",200000,4.2,2025-06-03 22:24:57.413414
Porto's,"Toko Roti dan Kue,Dessert","Jl. Niaga III Blok Z1 Timur No. 8, Muara Karang, Penjaringan, Jakarta Utara",75000,4.64,2025-06-03 22:24:57.673018
Kedai Gentong,Es Krim,"Ruko Sunter Paradise, Blok R No. 41
Jl. Danau Sunter Utara, Sunter, Jakarta Utara",50000,4.16,2025-06-03 22:25:01.465098
House 89 Restaurant & Cafe,Kafe,"Jl. Tanjung Duren Barat IV No. 1, Tanjung Duren, Jakarta Barat",75000,4.33,2025-06-03 22:25:01.730990
Supergrain,Kafe,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.38,2025-06-03 22:25:01.980917
Sugakiya,Jepang,"Kota Kasablanka, Lantai Lower Ground
Jl. Casablanca Raya, Tebet, Jakarta Selatan",50000,4.1,2025-06-03 22:25:02.256213
Kembang Kawung,Indonesia,"Jl. Kelapa Hibrida Raya Blok RB1 No. 29B, Kelapa Gading, Jakarta Utara",75000,4.12,2025-06-03 22:25:02.524179
Harum Manis,Indonesia,"Apartemen Pavilion Sudirman, Lantai Ground
Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",200000,4.12,2025-06-03 22:25:02.780663
Asia - Hotel The Ritz Carlton Mega Kuningan,"China, Barat, Indonesia, Jepang","Hotel The Ritz Carlton Mega Kuningan, Lantai Ground, Kawasan Mega Kuningan
Jl. Dr. Ide Anak Agung Gde Agung No. 1, Kuningan, Jakarta Selatan",200000,4.11,2025-06-03 22:25:03.052959
House of Brooklyn,Kafe,"Pacific Place Mall, Lantai 3
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",150000,4.11,2025-06-03 22:25:03.314581
By Anind,Jepang,"Jl. Duren Tiga Indah V Blok I No. 9, Pancoran, Jakarta Selatan",75000,4.13,2025-06-03 22:25:03.578241
LEMONDISCOFISH,Kafe,"Jl. Kemang Selatan I No. 8, Kemang, Jakarta Selatan",50000,4.03,2025-06-03 22:25:03.846688
Tomoro Coffee,Kafe,"Jl. Danau Sunter Utara No. 3A, Sunter, Jakarta Utara",50000,4.4,2025-06-03 22:25:04.115879
December Coffee,Kafe,"Citra Garden City, Sunset Avenue, Sunset Strip, No. 36
Jl. Citra Garden 8, Kalideres, Jakarta Barat",75000,4.22,2025-06-03 22:25:04.379662
Espresso Embassy Coffee Roasters,Kafe,"Jl. Raya Kebayoran Lama No. 8A, Kebayoran Lama, Jakarta Selatan",75000,4.75,2025-06-03 22:25:08.054122
Sedjuk Bakmi & Kopi,Kafe,"Jl. Pejaten Barat II No. 23A, Pasar Minggu, Jakarta Selatan",75000,4.4,2025-06-03 22:25:08.314031
Katsukita,Jepang,"Pondok Indah Mall 1, Lantai 2
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.5,2025-06-03 22:25:08.553807
Bali Timbungan,Indonesia,"Gedung Sarinah, Lantai Ground
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.23,2025-06-03 22:25:08.815724
Bijin Nabe,Jepang,"Pondok Indah Mall 3, Lantai 1
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",150000,4.25,2025-06-03 22:25:09.068658
Ramen SeiRock-Ya,Jepang,"Puri Indah Mall, Lantai 2
Jl. Puri Indah Raya, Puri, Jakarta Barat",75000,4.15,2025-06-03 22:25:09.322517
Kopi Nako,Kafe,"Senayan Park Mall, Lantai Ground
Jl. Gerbang Pemuda No. 3, Senayan, Jakarta Selatan",75000,4.13,2025-06-03 22:25:09.580651
BitterSweet by Najla,Kafe,"Jl. Kalibata Timur Raya No. 31, Kalibata, Jakarta Selatan",75000,4.05,2025-06-03 22:25:09.811740
Manggar Resto,Indonesia,"Sere Manis Building, Lantai 2
Jl. Kebon Sirih, Menteng, Jakarta Pusat",150000,4.31,2025-06-03 22:25:10.066228
Umaqita,Indonesia,"Ruko Beach Theme Park, Blok D No. 58 - 59
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",75000,4.13,2025-06-03 22:25:10.310493
Mineko,"Es Krim,Minuman","Jl. Gading Kirana Timur IX Blok D6 No. 33, Kelapa Gading, Jakarta Utara",50000,4.2,2025-06-03 22:25:10.575780
RM Pallubasa Serigala,Indonesia,"Jl. Boulevard Raya Blok I4 No. 6, Kelapa Gading, Jakarta Utara",50000,4.14,2025-06-03 22:25:10.845792
Pizza Hut Ristorante,,"Gandaria City, Lantai Lower Ground
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",75000,4.14,2025-06-03 22:25:14.520429
Chief Coffee,Kafe,"Jl. Ciragil I No. 11, Senopati, Kebayoran Baru, Jakarta Selatan",75000,4.06,2025-06-03 22:25:14.779240
The Chinese National - Hotel Swissotel Jakarta PIK Avenue,,"Hotel Swissotel Jakarta PIK Avenue, Lantai 7
Jl. Pantai Indah Utara I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.1,2025-06-03 22:25:15.044197
Cork&Screw,Barat,"Plaza Indonesia, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.09,2025-06-03 22:25:15.319232
Dapua Restaurant - Balairung Hotel,"Indonesia, Barat","Balairung Hotel, Lantai 1
Jl. Matraman Raya No. 19, Matraman, Jakarta Timur",75000,4.46,2025-06-03 22:25:15.584014
PUTIEN,China,"Neo Soho Mall, Lantai Upper Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.07,2025-06-03 22:25:15.845651
Starbucks,Kafe,"Setiabudi One, Lantai Ground
Jl. HR Rasuna Said, Setiabudi, Jakarta Selatan",75000,4.1,2025-06-03 22:25:16.090860
Toko Kopi Tuku,Kafe,"Jl. Bintaro Taman Barat Blok J1 No. 1 (Bintaro Sektor 1), Bintaro, Jakarta Selatan",50000,4.13,2025-06-03 22:25:16.345055
Dragon Hot Pot,China,"Ruko Beach Theme Park, Blok E No. 170 & 172
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",150000,4.33,2025-06-03 22:25:16.600826
Naked Papa,Kafe,"Apartemen Aerium
Jl. Pulau Melintang, Puri, Jakarta Barat",75000,4.1,2025-06-03 22:25:16.872565
Kopi Kenangan,Kafe,"Rumah Kenangan
Jl. Senopati No. 33, Senopati, Kebayoran Baru, Jakarta Selatan",50000,4.31,2025-06-03 22:25:17.145794
Eight Treasures,China,"Pacific Place Mall, Lantai Ground
Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,4.36,2025-06-03 22:25:17.421787
Kimukatsu,Jepang,"Gandaria City, Lantai Ground, Mainstreet Dining
Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",75000,4.14,2025-06-03 22:25:21.116437
Onni House,Kafe,"Jl. Tanjung Duren Utara V No. 242, Tanjung Duren, Jakarta Barat",75000,4.0,2025-06-03 22:25:21.377504
Chong Qing Hot Pot,China,"Pondok Indah Mall 3, Lantai 2
Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",200000,4.53,2025-06-03 22:25:21.654298
Bulgogi Yaa!,Korea,"The View Building, Lantai 2
Jl. Pahlawan Revolusi No. 5, Pondok Bambu, Jakarta Timur",150000,4.5,2025-06-03 22:25:21.930587
Marutama Ra-men,Jepang,"Mall of Indonesia, Lantai 2, Dotonbori Foodtown
Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",150000,4.12,2025-06-03 22:25:22.197994
Imperial Shanghai La Mian Xiao Long Bao,China,"Plaza Indonesia, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.07,2025-06-03 22:25:22.451386
Hakata Ikkousha,Jepang,"Plaza Indonesia, Lantai Basement
Jl. MH Thamrin, Thamrin, Jakarta Pusat",75000,4.11,2025-06-03 22:25:22.723087
Swanie Ice Cream & Pastries,Es Krim,"Jl. Pelepah Kuning II Blok WX2 No. 1, Kelapa Gading, Jakarta Utara",50000,4.14,2025-06-03 22:25:22.997361
Pizza Marzano,Italia,"Kota Kasablanka, Lantai Ground, Food Society
Jl. Casablanca Raya, Tebet, Jakarta Selatan",150000,4.15,2025-06-03 22:25:23.248998
Maxx Coffee,Kafe,"Jl. Boulevard Raya Blok LB3 No. 1 - 2, Kelapa Gading, Jakarta Utara",50000,4.25,2025-06-03 22:25:23.532730
Numani Gelato & Coffee,Kafe,"Ruko Grand Aries Niaga, Blok G1 No. 1T
Jl. Taman Aries, Meruya, Jakarta Barat",50000,4.6,2025-06-03 22:25:23.792975
Seroeni,China,"Plaza Senayan, Lantai 3
Jl. Asia Afrika, Senayan, Jakarta Selatan",75000,4.1,2025-06-03 22:25:24.067378
Venchi,"Cokelat,Es Krim","Plaza Indonesia, Lantai 1
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.08,2025-06-03 22:25:27.835365
Lady Eve Patisserie,Toko Kue,"Jl. Terogong Raya No. 29, Pondok Indah, Jakarta Selatan",150000,4.32,2025-06-03 22:25:28.087985
RM Pagi Sore,Indonesia,"Jl. Dr. Saharjo No. 232, Tebet, Jakarta Selatan",75000,4.26,2025-06-03 22:25:28.344537
Bermvda Coffee,Kafe,"Central Park, Tribeca Park, Lantai Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.08,2025-06-03 22:25:28.614230
Sushi Tei,Jepang,"Grand Indonesia Mall, Lantai Lower Ground, West Mall
Jl. MH Thamrin, Thamrin, Jakarta Pusat",150000,4.01,2025-06-03 22:25:28.862779
Fujin Teppanyaki & Japanese Whisky,Jepang,"Jl. Gunawarman No. 21, Senopati, Kebayoran Baru, Jakarta Selatan",200000,4.08,2025-06-03 22:25:29.115200
Sushi Matsu,Jepang,"Jl. Adityawarman No. 43, Melawai, Kebayoran Baru, Jakarta Selatan",150000,4.12,2025-06-03 22:25:29.381988
Fire Pot,China,"PIK Avenue, Lantai 1
Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",200000,4.14,2025-06-03 22:25:29.633604
Rose Garden,China,"Graha Indramas, Lantai 3
Jl. KS. Tubun Raya No. 77, Slipi, Jakarta Barat",150000,4.14,2025-06-03 22:25:29.903214
Foek Lam Restaurant,China,"Central Park, Lantai Lower Ground
Jl. Letjen S. Parman, Slipi, Jakarta Barat",150000,4.16,2025-06-03 22:25:30.155942
Udupi Delicious,India,"Taman Kemayoran Condominium, Tower Flamboyan, Lantai Ground
Jl. Benyamin Sueb, Kemayoran, Jakarta Pusat",75000,4.25,2025-06-03 22:25:30.420934
Seoul Bakeshop,"Toko Roti dan Kue,Kafe","Graha Vortexa, Lantai 3
Jl. Arwana No. 38, Penjaringan, Jakarta Utara",50000,4.29,2025-06-03 22:25:30.693641
Demore Bakehouse,Kafe,"Jl. Kelapa Kopyor Raya Blok CE2 No. 5, Kelapa Gading, Jakarta Utara",150000,4.27,2025-06-03 22:25:34.359552
